Month     Candy                      NorthAm   SouthAm   Asia      Europe    AusNZ
Jan       Wonka_Bar                        1010      8698      7016      2579      3524
Jan       Everlasting_Gobstoppers           5452      6338      6177      2896      8644
Jan       Fizzy_Lifters                    7841      7028      1690      4274      9950
Jan       Hair_Toffee                      5352      7191      5073      4856      6119
Jan       Lickable_Wallpaper               8590      7574      8631      1850      9422
Jan       Square Candies                   6095      7708      3000      5696      7885
Jan       Wonka_Gum                        1988      6369      8113      6113      1283
Feb       Wonka_Bar                        9386      7518      5272      7281      1629
Feb       Everlasting_Gobstoppers           9342      1495      7093      3705      2993
Feb       Fizzy_Lifters                    9921      1264      2965      4005      8587
Feb       Hair_Toffee                      7783      2002      9838      5957      1545
Feb       Lickable_Wallpaper               5174      4948      7702      5752      7275
Feb       Square_Candies                   3740      8698      1853      2750      8982
Feb       Wonka_Gum                        1319      8554      3367      1799      4293
Mar       Wonka_Bar                        5175      8371      9524      8988      2289
Mar       Everlasting_Gobstoppers           6578      1678      3298      3451      1909
Mar       Fizzy_Lifters                    9321      6818      3616      9616      6782
Mar       Hair_Toffee                      5579      9315      7181      1163      6573
Mar       Lickable_Wallpaper               2876      9926      3592      5537      7268
Mar       Square_Candies                   4970      4290      4653      7340      3615
Mar       Wonka_Gum                        8908      1394      6170      2397      8211
Apr       Wonka_Bar                        3086      6664      5408      1958      6396
Apr       Everlasting_Gobstoppers           6841      7273      2334      2002      3652
Apr       Fizzy_Lifters                    2354      5589      1831      2116      6786
Apr       Hair_Toffee                      6559      1306      4350      6426      7439
Apr       Lickable_Wallpaper               6658      3283      2602      9449      7334
Apr       Square_Candies                   3734      7058      5866      2437      9104
Apr       Wonka_Gum                        7423      3206      6753      5718      3050
May       Wonka_Bar                        1843      1871      6263      3077      3243
May       Everlasting_Gobstoppers           9993      2937      1165      2593      7138
May       Fizzy_Lifters                    3969      4305      3509      4962      5580
May       Hair_Toffee                      6237      5825      5702      3244      5876
May       Lickable_Wallpaper               9645      3569      5911      1980      9606
May       Square_Candies                   1189      8861      9759      3573      3414
May       Wonka_Gum                        1586      9333      7409      3350      7390
Jun       Wonka_Bar                        2479      8022      9436      1507      4894
jun       Everlasting_Gobstoppers           3894      1340      4719      9933      2482
Jun       Fizzy_Lifters                    9017      7824      9512      7628      1719
Jun       Hair_Toffee                      7967      1797      9695      8777      1845
Jun       Lickable_Wallpaper               6425      2027      6783      9247      6625
Jun       Square_Candies                   3220      5919      1372      9063      7078
Jun       Wonka_Gum                        8042      6222      8934      7557      1280
Jul       Wonka_Bar                        7706      6537      9821      4292      5426
Jul       Everlasting_Gobstoppers           1379      7491      2738      3137      4764
Jul       Fizzy_Lifters                    8914      5918      5404      6734      6779
Jul       Hair_Toffee                      3235      2167      8380      9903      9940
Jul       Lickable_Wallpaper               7309      6166      4366      7968      2021
Jul       Square_Candies                   4613      2012      4791      1116      4657
Jul       Wonka_Gum                        4037      6153      3992      3207      3721
Aug       Wonka_Bar                        1483      6124      5781      9018      8129
Aug       Everlasting_Gobstoppers           1393      8839      5553      7576      5885
Aug       Fizzy_Lifters                    6510      9776      1806      5118      3581
Aug       Hair_Toffee                      6672      9090      6578      4728      8680
Aug       Lickable_Wallpaper               7575      5683      3146      6121      8764
Aug       Square_Candies                   2161      7015      1716      7053      7034
Aug       Wonka_Gum                        9815      3448      6604      9174      7140
Sep       Wonka_Bar                        9277      8658      5856      7641      2842
Sep       Everlasting_Gobstoppers           3764      2828      1533      9569      6743
Sep       Fizzy_Lifters                    1264      4639      4506      7564      3604
Sep       Hair_Toffee                      5344      3431      9602      5734      3089
Sep       Lickable_Wallpaper               4358      1765      3007      9434      3258
Sep       Square_Candies                   2987      8188      5296      7610      8679
Sep       Wonka_Gum                        7620      4518      4724      9847      1531
Oct       Wonka_Bar                        3044      1134      5898      7187      3778
Oct       Everlasting_Gobstoppers           9001      5100      5115      7644      6477
Oct       Fizzy_Lifters                    3039      9094      5624      8996      1646
Oct       Hair_Toffee                      9850      5079      2448      7916      7173
Oct       Lickable_Wallpaper               1244      3355      8977      5970      8424
Oct       Square_Candies                   1412      2105      7216      7794      4504
Oct       Wonka_Gum                        7141      7365      6371      6385      9943
Nov       Wonka_Bar                        2524      6565      4630      6524      1602
Nov       Everlasting_Gobstoppers           6358      7316      6630      7148      8607
Nov       Fizzy_Lifters                    7531      9075      4140      1921      6523
Nov       Hair_Toffee                      1867      6316      7057      2154      7093
Nov       Lickable_Wallpaper               5960      2669      5816      7504      9537
Nov       Square_Candies                   4101      5446      5157      5834      5271
Nov       Wonka_Gum                        4587      4056      1438      3220      4722
Dec       Wonka_Bar                        4519      1048      9451      5409      7460
Dec       Everlasting_Gobstoppers           2409      7786      8789      3719      4621
Dec       Fizzy_Lifters                    3158      2701      7092      7087      8891
Dec       Hair_Toffee                      5076      6087      2851      9408      1797
Dec       Lickable_Wallpaper1               5175      4539      5161      2832      3579
Dec       Square_Candies                   9853      2856      5820      6594      7168
Dec       Wonka_Gum                        2904      5218      5795      8422      4084
